symbol,kind,status,error_msg,collected_at
BSJO,etf,delisted,empty 1mo history,2026-02-06 00:16:42
DJPRD,etf,delisted,empty 1mo history,2026-02-06 00:22:34
DWLV,etf,delisted,empty 1mo history,2026-02-06 00:23:42
IDHD,etf,delisted,empty 1mo history,2026-02-06 00:36:10
PMPT,etf,delisted,empty 1mo history,2026-02-06 00:50:23
VXXRD,etf,delisted,empty 1mo history,2026-02-06 01:06:57
